"year","ccaa","codigo","situation","count","porcentaje"
2006,"Cataluña","9","inac_desanim",11766,0
2006,"Cataluña","9","inactivos",2200032,0.37
2006,"Cataluña","9","ocupados",3486939,0.59
2006,"Cataluña","9","para_b_1a2a",37180,0.15
2006,"Cataluña","9","para_b_2a4a",15164,0.06
2006,"Cataluña","9","para_b_4mas_a",7803,0.03
2006,"Cataluña","9","para_b_6ma1a",35975,0.15
2006,"Cataluña","9","para_b_menos6m",103526,0.43
2006,"Cataluña","9","parados",242099,0.04
2006,"Cataluña","9","total",5929073,1
2006,"Ceuta","18","activos",30603,0.54
2006,"Ceuta","18","asal_comp",18728,0.91
2006,"Ceuta","18","asal_indef",14087,0.68
2006,"Ceuta","18","asal_parc",677,0.03
2006,"Ceuta","18","asal_parc_inv",1272,0.06
2006,"Ceuta","18","asal_temp",6590,0.32
2006,"Ceuta","18","asalariados",20677,0.86
2006,"Ceuta","18","c_propia",3352,0.14
2006,"Ceuta","18","inac_desanim",950,0.02
2006,"Ceuta","18","inactivos",26301,0.46
2006,"Ceuta","18","ocupados",24026,0.42
2006,"Ceuta","18","para_b_1a2a",1665,0.25
2006,"Ceuta","18","para_b_2a4a",870,0.13
2006,"Ceuta","18","para_b_4mas_a",762,0.12
2006,"Ceuta","18","para_b_6ma1a",1350,0.21
2006,"Ceuta","18","para_b_menos6m",1955,0.3
2006,"Ceuta","18","parados",6577,0.12
2006,"Ceuta","18","total",56905,1
2006,"Comunidad Valenciana","10","activos",2361454,0.6
2006,"Comunidad Valenciana","10","asal_comp",1543097,0.86
2006,"Comunidad Valenciana","10","asal_indef",1135873,0.64
2006,"Comunidad Valenciana","10","asal_parc",166445,0.09
2006,"Comunidad Valenciana","10","asal_parc_inv",76691,0.04
2006,"Comunidad Valenciana","10","asal_temp",650364,0.36
2006,"Comunidad Valenciana","10","asalariados",1786235,0.83
2006,"Comunidad Valenciana","10","c_propia",378417,0.17
2006,"Comunidad Valenciana","10","inac_desanim",20080,0.01
2006,"Comunidad Valenciana","10","inactivos",1605521,0.4
2006,"Comunidad Valenciana","10","ocupados",2164651,0.55
2006,"Comunidad Valenciana","10","para_b_1a2a",26015,0.13
2006,"Comunidad Valenciana","10","para_b_2a4a",13795,0.07
2006,"Comunidad Valenciana","10","para_b_4mas_a",10388,0.05
2006,"Comunidad Valenciana","10","para_b_6ma1a",26768,0.14
2006,"Comunidad Valenciana","10","para_b_menos6m",87988,0.45
2006,"Comunidad Valenciana","10","parados",196804,0.05
2006,"Comunidad Valenciana","10","total",3966976,1
2006,"Extremadura","11","activos",460754,0.52
2006,"Extremadura","11","asal_comp",271494,0.87
2006,"Extremadura","11","asal_indef",179031,0.58
2006,"Extremadura","11","asal_parc",18869,0.06
2006,"Extremadura","11","asal_parc_inv",20736,0.07
2006,"Extremadura","11","asal_temp",132068,0.42
2006,"Extremadura","11","asalariados",311095,0.78
2006,"Extremadura","11","c_propia",88317,0.22
2006,"Extremadura","11","inac_desanim",15300,0.02
2006,"Extremadura","11","inactivos",432120,0.48
2006,"Extremadura","11","ocupados",399413,0.45
2006,"Extremadura","11","para_b_1a2a",9898,0.16
2006,"Extremadura","11","para_b_2a4a",6697,0.11
2006,"Extremadura","11","para_b_4mas_a",5003,0.08
2006,"Extremadura","11","para_b_6ma1a",8750,0.14
2006,"Extremadura","11","para_b_menos6m",22326,0.36
2006,"Extremadura","11","parados",61341,0.07
2006,"Extremadura","11","total",892876,1
2006,"Galicia","12","activos",1270948,0.53
2006,"Galicia","12","asal_comp",792850,0.89
2006,"Galicia","12","asal_indef",579613,0.65
2006,"Galicia","12","asal_parc",54885,0.06
2006,"Galicia","12","asal_parc_inv",39492,0.04
2006,"Galicia","12","asal_temp",307611,0.35
2006,"Galicia","12","asalariados",887222,0.76
2006,"Galicia","12","c_propia",277646,0.24
2006,"Galicia","12","inac_desanim",15655,0.01
2006,"Galicia","12","inactivos",1109500,0.47
2006,"Galicia","12","ocupados",1164867,0.49
2006,"Galicia","12","para_b_1a2a",14277,0.13
2006,"Galicia","12","para_b_2a4a",10795,0.1
2006,"Galicia","12","para_b_4mas_a",10509,0.1
2006,"Galicia","12","para_b_6ma1a",15594,0.15
