"ccaa","year","codigo","variable","value","porcentaje"
"Balears (Illes)","2008",4,"asal_temporal",119748,0.287068401331924
"Balears (Illes)","2008",4,"asal_temp_obra",49212,0.410963022346929
"Balears (Illes)","2008",4,"asal_temp_sustitucion",11849,0.0989494605337876
"Balears (Illes)","2008",4,"asal_temp_prueba",2973,0.0248271369876741
"Balears (Illes)","2008",4,"asal_temp_verbal",7105,0.0593329324915656
"Balears (Illes)","2008",4,"asal_temp_formacion",1948,0.0162674950729866
"Balears (Illes)","2008",4,"asal_temp_circ_produccion",27488,0.229548718976517
"Balears (Illes)","2008",4,"asal_temp_temporada",15966,0.133329992985269
"Balears (Illes)","2008",4,"asal_temp_otro",754,0.00629655610114574
"Balears (Illes)","2008",4,"asal_temp_ns",2454,0.020493035374286
"Balears (Illes)","2008",4,"asal_indef",297393,0.712931598668076
"Balears (Illes)","2008",4,"asal_indef_permanente",268428,0.902603625505644
"Balears (Illes)","2008",4,"asal_indef_discontinuo",28965,0.097396374494356
"Balears (Illes)","2008",4,"asal_completa",372315,0.892539932540796
"Balears (Illes)","2008",4,"asal_parcial",44826,0.107460067459204
"Balears (Illes)","2008",4,"asal_parcial_involuntaria",16458,0.367152991567394
"Balears (Illes)","2008",4,"asal_horas_pactadas",38,NA
"Balears (Illes)","2008",4,"asal_horas_hab",38,NA
"Balears (Illes)","2008",4,"asal_horas_dif",1,NA
"Balears (Illes)","2008",4,"asal_horas_extra",24400,0.0584934111008028
"Balears (Illes)","2008",4,"asal_extra_pagadas",26,NA
"Balears (Illes)","2008",4,"asal_extra_nopagadas",8,NA
"Balears (Illes)","2008",4,"parados",58092,0.101632644492187
"Balears (Illes)","2008",4,"parados_nuevo_emp",8596,0.147972182056049
"Balears (Illes)","2008",4,"parados_busca",49496,0.852027817943951
"Balears (Illes)","2008",4,"parados_no_busca",0,0
"Balears (Illes)","2008",4,"parados_tb_4mas_a",824,0.0141843971631206
"Balears (Illes)","2008",4,"parados_tb_2a4a",1325,0.0228086483508917
